,layers,percentage3x3,percentage_increase
153,101,50,57.39303113255695
154,101,51,56.55587903120186
155,101,52,55.15821991945672
156,101,53,54.32106781810162
157,101,54,52.85725444547354
158,101,55,52.02010234411845
159,101,56,50.62244323237331
160,101,57,49.785291131018205
161,101,58,48.339519829540016
162,101,59,46.4992285722508
163,101,60,45.662076470895705
164,101,61,44.19826309826762
165,101,62,43.36111099691253
166,101,63,41.96345188516739
167,101,64,41.12629978381229
168,101,65,39.6805284823341
169,101,66,38.843376380979
170,101,67,37.44571726923386
171,101,68,36.60856516787877
172,101,69,35.08701716757102
173,101,70,34.24986506621593
174,101,71,32.85220595447079
175,101,72,32.015053853115695
176,101,73,30.5692825516375
177,101,74,29.73213045028241
178,101,75,28.334471338537266
179,101,76,27.49731923718217
180,101,77,26.033505864554087
181,101,78,25.196353763198992
182,101,79,23.79869465145385
183,101,80,22.682491849647057
184,101,81,21.236720548168865
185,101,82,20.39956844681377
186,101,83,19.00190933506863
187,101,84,18.164757233713537
188,101,85,16.70094386108545
189,101,86,15.863791759730356
190,101,87,14.466132647985214
191,101,88,13.628980546630121
192,101,89,12.183209245151927
193,101,90,11.288322516117171
194,101,91,9.890663404372031
195,101,92,9.053511303016936
196,101,93,7.58969793038885
197,101,94,6.752545829033757
198,101,95,5.354886717288615
199,101,96,4.517734615933522
200,101,97,3.0719633144553287
201,101,98,2.234811213100235
202,101,99,0.8371521013550934
203,101,100,0.0
204,152,50,58.13359831546809
205,152,51,57.324721871877195
206,152,52,55.87753640866998
207,152,53,55.06865996507908
208,152,54,53.53794921693586
209,152,55,52.72907277334495
210,152,56,51.28188731013774
211,152,57,50.47301086654684
212,152,58,48.95548832128825
213,152,59,47.07924665756761
214,152,60,46.270370213976705
215,152,61,44.73965946583348
216,152,62,43.93078302224257
217,152,63,42.48359755903537
218,152,64,41.67472111544446
219,152,65,40.15719857018587
220,152,66,39.34832212659497
221,152,67,37.90113666338776
222,152,68,37.092260219796856
223,152,69,35.5193472224228
224,152,70,34.7104707788319
225,152,71,33.26328531562469
226,152,72,32.45440887203379
227,152,73,30.9368863267752
228,152,74,30.12800988318429
229,152,75,28.680824419977085
230,152,76,27.87194797638618
231,152,77,26.341237228242953
232,152,78,25.532360784652052
233,152,79,24.085175321444844
234,152,80,22.98088313323813
235,152,81,21.46336058797954
236,152,82,20.654484144388636
237,152,83,19.207298681181427
238,152,84,18.398422237590523
239,152,85,16.8677114894473
240,152,86,16.058835045856394
241,152,87,14.61164958264919
242,152,88,13.802773139058283
243,152,89,12.285250593799693
244,152,90,11.434171900977958
245,152,91,9.986986437770753
246,152,92,9.178109994179847
247,152,93,7.647399246036624
248,152,94,6.838522802445718
249,152,95,5.391337339238511
250,152,96,4.582460895647606
251,152,97,3.0649383503890166
252,152,98,2.2560619067981116
253,152,99,0.8088764435909052
254,152,100,0.0
255,121,50,33.301733608139365
256,121,51,33.301733608139365
257,121,52,33.301733608139365
258,121,53,33.301733608139365
259,121,54,27.329284986663616
260,121,55,27.329284986663616
261,121,56,27.329284986663616
262,121,57,27.329284986663616
263,121,58,25.622871094813398
264,121,59,25.622871094813398
265,121,60,25.622871094813398
266,121,61,23.91645720296318
267,121,62,23.91645720296318
268,121,63,23.91645720296318
269,121,64,23.91645720296318
270,121,65,22.210043311112965
271,121,66,22.210043311112965
272,121,67,22.210043311112965
273,121,68,22.210043311112965
274,121,69,16.23759468963721
275,121,70,16.23759468963721
276,121,71,16.23759468963721
277,121,72,16.23759468963721
278,121,73,14.531180797786995
279,121,74,14.531180797786995
280,121,75,14.531180797786995
281,121,76,14.531180797786995
282,121,77,12.82476690593678
283,121,78,12.82476690593678
284,121,79,12.82476690593678
285,121,80,12.82476690593678
286,121,81,11.118353014086562
287,121,82,11.118353014086562
288,121,83,11.118353014086562
289,121,84,11.118353014086562
290,121,85,5.145904392610808
291,121,86,5.145904392610808
292,121,87,5.145904392610808
293,121,88,5.145904392610808
294,121,89,3.4394905007605914
295,121,90,3.4394905007605914
296,121,91,3.4394905007605914
297,121,92,3.4394905007605914
298,121,93,1.7330766089103757
299,121,94,1.7330766089103757
300,121,95,1.7330766089103757
301,121,96,1.7330766089103757
302,121,97,0.026662717060159623
303,121,98,0.026662717060159623
304,121,99,0.026662717060159623
305,121,100,0.026662717060159623
306,169,50,26.227117424707718
307,169,51,26.227117424707718
308,169,52,26.227117424707718
309,169,53,26.227117424707718
310,169,54,21.52345505230217
311,169,55,21.52345505230217
312,169,56,21.52345505230217
313,169,57,21.52345505230217
314,169,58,20.17955151732916
315,169,59,20.17955151732916
316,169,60,20.17955151732916
317,169,61,18.835647982356143
318,169,62,18.835647982356143
319,169,63,18.835647982356143
320,169,64,18.835647982356143
321,169,65,17.49174444738313
322,169,66,17.49174444738313
323,169,67,17.49174444738313
324,169,68,17.49174444738313
325,169,69,12.788082074977583
326,169,70,12.788082074977583
327,169,71,12.788082074977583
328,169,72,12.788082074977583
329,169,73,11.44417854000457
330,169,74,11.44417854000457
331,169,75,11.44417854000457
332,169,76,11.44417854000457
333,169,77,10.100275005031556
334,169,78,10.100275005031556
335,169,79,10.100275005031556
336,169,80,10.100275005031556
337,169,81,8.756371470058543
338,169,82,8.756371470058543
339,169,83,8.756371470058543
340,169,84,8.756371470058543
341,169,85,4.052709097652994
342,169,86,4.052709097652994
343,169,87,4.052709097652994
344,169,88,4.052709097652994
345,169,89,2.7088055626799807
346,169,90,2.7088055626799807
347,169,91,2.7088055626799807
348,169,92,2.7088055626799807
349,169,93,1.364902027706967
350,169,94,1.364902027706967
351,169,95,1.364902027706967
352,169,96,1.364902027706967
353,169,97,0.020998492733953336
354,169,98,0.020998492733953336
355,169,99,0.020998492733953336
356,169,100,0.020998492733953336
357,201,50,21.632513410331995
358,201,51,21.632513410331995
359,201,52,21.632513410331995
360,201,53,21.632513410331995
361,201,54,17.75286328710192
362,201,55,17.75286328710192
363,201,56,17.75286328710192
364,201,57,17.75286328710192
365,201,58,16.644391823321897
366,201,59,16.644391823321897
367,201,60,16.644391823321897
368,201,61,15.535920359541874
369,201,62,15.535920359541874
370,201,63,15.535920359541874
371,201,64,15.535920359541874
372,201,65,14.427448895761852
373,201,66,14.427448895761852
374,201,67,14.427448895761852
375,201,68,14.427448895761852
376,201,69,10.547798772531774
377,201,70,10.547798772531774
378,201,71,10.547798772531774
379,201,72,10.547798772531774
380,201,73,9.439327308751752
381,201,74,9.439327308751752
382,201,75,9.439327308751752
383,201,76,9.439327308751752
384,201,77,8.33085584497173
385,201,78,8.33085584497173
386,201,79,8.33085584497173
387,201,80,8.33085584497173
388,201,81,7.2223843811917074
389,201,82,7.2223843811917074
390,201,83,7.2223843811917074
391,201,84,7.2223843811917074
392,201,85,3.34273425796163
393,201,86,3.34273425796163
394,201,87,3.34273425796163
395,201,88,3.34273425796163
396,201,89,2.2342627941816073
397,201,90,2.2342627941816073
398,201,91,2.2342627941816073
399,201,92,2.2342627941816073
400,201,93,1.125791330401585
401,201,94,1.125791330401585
402,201,95,1.125791330401585
403,201,96,1.125791330401585
404,201,97,0.01731986662156285
405,201,98,0.01731986662156285
406,201,99,0.01731986662156285
407,201,100,0.01731986662156285
