,layers,percentage3x3,percentage_increase
0,18,50,112.71879604141404
1,18,51,110.73211810598626
2,18,52,108.38838745405302
3,18,53,106.40170951862524
4,18,54,103.80621092556636
5,18,55,101.81953299013857
6,18,56,99.47580233820534
7,18,57,97.48912440277756
8,18,58,94.98517778830983
9,18,59,91.551978591142
10,18,60,89.56530065571422
11,18,61,86.96980206265535
12,18,62,84.98312412722757
13,18,63,82.63939347529433
14,18,64,80.65271553986655
15,18,65,78.14876892539881
16,18,66,76.16209098997103
17,18,67,73.8183603380378
18,18,68,71.83168240261001
19,18,69,68.97983826949594
20,18,70,66.99316033406816
21,18,71,64.64942968213492
22,18,72,62.662751746707144
23,18,73,60.158805132239415
24,18,74,58.17212719681163
25,18,75,55.8283965448784
26,18,76,53.841718609450616
27,18,77,51.24622001639174
28,18,78,49.25954208096396
29,18,79,46.915811429030725
30,18,80,44.54461518352014
31,18,81,42.04066856905241
32,18,82,40.05399063362462
33,18,83,37.710259981691394
34,18,84,35.723582046263616
35,18,85,33.12808345320474
36,18,86,31.141405517776953
37,18,87,28.79767486584372
38,18,88,26.810996930415936
39,18,89,24.307050315948203
40,18,90,22.064026840465225
41,18,91,19.72029618853199
42,18,92,17.733618253104204
43,18,93,15.13811966004533
44,18,94,13.151441724617548
45,18,95,10.807711072684315
46,18,96,8.821033137256533
47,18,97,6.317086522788798
48,18,98,4.330408587361017
49,18,99,1.9866779354277817
50,18,100,0.0
51,34,50,113.51292390514527
52,34,51,111.62328568527396
53,34,52,109.15185045623106
54,34,53,107.26221223635972
55,34,54,104.53834442069281
56,34,55,102.6487062008215
57,34,56,100.1772709717786
58,34,57,98.28763275190727
59,34,58,95.63588853241865
60,34,59,92.13068175815351
61,34,60,90.24104353828221
62,34,61,87.51717572261528
63,34,62,85.62753750274396
64,34,63,83.15610227370107
65,34,64,81.26646405382975
66,34,65,78.61471983434112
67,34,66,76.72508161446979
68,34,67,74.25364638542689
69,34,68,72.36400816555559
70,34,69,69.428577801099
71,34,70,67.53893958122768
72,34,71,65.06750435218478
